"registrationDate","serviceProviderID","mobileNumber","serviceProviderName","pinCode","address","deliveryService","serviceProviderIconURL","businessId","coordinates"
"2023-12-12 15:24:56.824",42,"7337719991","My Chiken And More                                ","560068","1, Kodichikkanahalli Main Rd, next to HP Petrol Bunk, Kodichikknahalli, Kaveri Nagar, Bommanahalli                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+3FJ                                          "
"2023-12-12 15:19:41.63",41,"8884422070","Mangala Bhavana                                   ","560068","Devarachikkanahalli Main Rd, Kaveri Nagar, Bommanahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+JQ9                                          "
"2023-12-12 15:11:32.777",40,"9738831915","Bairava Chicken Center                            ","560068","14-195, 6th Main Rd, Kaveri Nagar, Hongasandra                                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+MQ7                                          "
"2023-12-12 15:06:04.897",39,"9742411751","Hasanbha Iyengars Cake mane                       ","560068","Kaveri Nagar, Bommanahalli                                                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+QR2                                          "
"2023-12-12 15:02:04.673",38,"8197508648","Choi Choi Momos                                   ","560068","18, 12th A Main Rd, Kaveri Nagar, Bommanahalli                                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ2F+52V                                          "
"2023-12-11 12:17:24.862",37,"9538353735","Udaya Super Mart                                  ","560076","1, Manjunatha Layout, Kodichikknahalli, Seenappa Layout, Bommanahalli                                                                                                                                   ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+788                                          "
"2023-12-11 12:14:42.186",36,"9079337681","D N D Pani Puri                                   ","560076","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+785                                          "
"2023-12-11 12:10:41.384",35,"9341891174","M.N Sugarcane Juice Center                        ","560076","#31/A,Venkatappa Building, Next To Udupi Grand Veg, Kodichikkanahalli Bus Stop                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+66W                                          "
"2023-12-09 15:12:18.437",34,"9480863810","Sri Chamundeshwari Fruits And Vegetables          ","560068","29, 1st Main Rd, Kodichikknahalli, Lake City, Bommanahalli                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+C6M                                          "
"2023-12-09 15:06:18.427",33,"8971666158","Welcome Poultry                                   ","560076","Virat Nagar , Near Muhajir Masjid                                                                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ2C+RV4                                          "
"2023-12-09 15:04:45.419",32,"8618408635","Fresh Greens                                      ","560076","Vijaya Bank Enclave Rd, Anugraha Layout, Sambhawa Naggapa Layout                                                                                                                                        ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX6+392                                          "
"2023-12-09 14:59:18.605",31,"9611911066","Ambara Gardenia                                   ","560076","14th Main Road, 6th Cross Rd, Gangaparameshwari Nagar, Kodichikknahalli, Vijaya Bank Layout, Bilekahalli                                                                                                ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV6+JCQ                                          "
"2023-12-09 14:49:42.741",27,"9606158800","Shree Annapoorna Traders                          ","560076"," Bannerghatta Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+X34                                          "
"2023-12-09 14:42:57.189",29,"7349460900","Namana Garden Veg Restaurant                      ","560076","910, 5th Cross Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+X34                                          "
"2023-12-09 14:28:46.475",25,"9886288890","Bread Crumbs Bakery                               ","560076","989, Ambika Corner, Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                             ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+WFX                                          "
"2023-12-09 14:14:24.946",26,"9035655201","Om Sweets Chats & Juice                           ","560076","Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+XH9                                          "
"2023-12-09 09:53:37.415",23,"9035066066","SRI BHAGYA GRAND                                  ","560076","#1065/A,5th Cross,13th Main, Vijaya Bank Layout, kodichikkanahalli,Oppo. Vijaya Enclave Apts.                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV6+HC4                                          "
"2023-12-08 15:24:53.186",22,"9743081258","Balaji Rice Traders                               ","560076","#5,30/1A,2 Main, Kodichikkanahalli Main Road, Rotary Nagara,Oppo.BWSSB Water Tank                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+5W2                                          "
"2023-12-07 19:15:03.402",21,"9538630554","IYENGARS BAKERY                                   ","560068","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+59C                                          "
"2023-12-07 19:10:08.592",20,"8217807039","Udupi Grand Veg                                   ","560068","29, 1st Main Rd, Kodichikknahalli, Lake City, Bommanahalli                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+872                                          "
"2023-12-07 19:05:42.671",19,"9118412092","Shree Sai Super Hot Chips                         ","560068","Vijayasree Layout, kodichikkanahalli                                                                                                                                                                    ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+Q8J                                          "
"2023-12-07 13:22:03.841",18,"8495010001","Eat n Pack Grill Expert                           ","560076","Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJQ6+868                                          "
"2023-12-07 13:12:17.924",17,"9986953643","Mane Rotti                                        ","560076","1st Main Rd, Royal Residency Layout - BTM 4th stg, Royal Residency Layout, Hulimavu                                                                                                                     ",True,"icons/sp/local-store.png                                                   ",NULL,"VJM6+95C                                          "
"2023-12-06 14:24:53.718",16,"9008684788","Ayengars Ammas Pastries                           ","560068","54, Kodichikknahalli                                                                                                                                                                                    ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+7PH                                          "
"2023-12-06 14:18:05.514",15,"9739634422","Gowdru Mane Mudde Oota                            ","560076","Kodichikkanahalli Main Road, Near Srushti Hospital,Bommanahalli                                                                                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,"7J4VVJXC+58                                       "
"2023-12-06 14:12:19.022",14,"9844141291","Shree Lakshmi Venkateshwra Chicken Center         ","560076","Kodichikkanahalli Main road, Near Srushti Hospital,Bommanahalli                                                                                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+33X                                          "
"2023-12-06 12:08:29.533",13,"9663605186","Cake House 24/7                                   ","560076","5th Cross Road , Kutapa Garden, Vijaya Bank Layout                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJW6+86V                                          "
"2023-12-06 12:01:29.137",12,"6363552135","SHUDHAKALPA                                       ","560076","Vijaya Bank Enclave Rd, Anugraha Layout                                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJW6+X9Q                                          "
"2023-12-05 19:19:59.283",10,"8217310403","BISMILLAH BIRIYANI KABAB CENTER                   ","560076","Kodichikkanahalli Main Rd, Near Srushti Hospital, Bommanahalli                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
